City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,coquimbo,-29.9533,-71.3436,289.0,82,75,3.6,CL,1728571358
232,kailua-kona,19.6406,-155.9956,298.13,72,0,2.57,US,1728571360
233,badagry,6.4167,2.8833,302.05,69,30,4.53,NG,1728571361
234,haiku-pauwela,20.9219,-156.3051,297.62,88,100,4.63,US,1728571362
235,shizuoka,34.9769,138.3831,291.86,78,22,3.45,JP,1728571356
236,crane,31.3974,-102.3501,297.84,38,0,3.17,US,1728571176
237,tanda,26.55,82.65,300.05,56,99,2.38,IN,1728571366
238,suva,-18.1416,178.4415,295.86,100,75,0.0,FJ,1728571368
239,fontaines-sur-saone,45.8338,4.8483,292.33,64,100,2.57,FR,1728571369
240,mount pearl,47.5166,-52.7813,287.34,94,75,4.63,CA,1728571370
241,vila franca do campo,37.7167,-25.4333,296.38,82,21,9.84,PT,1728571372
242,arkhangel'sk,64.5401,40.5433,275.21,60,40,6.0,RU,1728571373
243,pyt-yakh,60.7499,72.8582,270.72,82,86,2.82,RU,1728571374
244,saint-pierre,-21.3393,55.4781,295.97,68,0,11.83,RE,1728571132
245,tolanaro,-25.0319,46.9987,298.19,69,20,12.86,MG,1728571377
246,altai,46.3722,96.2583,278.12,40,0,1.18,MN,1728571379
247,salalah,17.0151,54.0924,301.2,74,20,4.12,OM,1728571380
248,vysokiy,58.35,60.05,269.83,65,94,4.96,RU,1728571381
249,cockburn town,21.4612,-71.1419,302.68,79,96,4.47,TC,1728571154
250,oriximina,-1.7656,-55.8661,310.0,33,33,2.55,BR,1728571384
251,sarangani,5.4033,125.4636,302.29,71,5,3.01,PH,1728571385
252,la passe,45.5549,-0.8967,289.98,73,5,5.17,FR,1728571387
253,ceres,37.5949,-120.9577,290.48,74,0,0.0,US,1728571373
254,myitkyina,25.3833,97.4,295.23,99,59,0.77,MM,1728571390
255,verkhneyarkeyevo,55.4505,54.3145,276.0,73,100,8.3,RU,1728571391
